seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Mexico City,Mexico,mexico city,405,61,"Iztacalco, México, Mexico",19.384413,-99.117641
Mexico City,Mexico,mexico city,398,69,"Villa de las Flores, México, Mexico",,
Mexico City,Mexico,mexico city,8527,76,"Centro de Ciencias de la Atmosfera, México, Mexico",,
Mexico City,Mexico,mexico city,8867,88,"Ajusco Medio, México, Mexico",,
Mexico City,Mexico,mexico city,9156,47,"Benito Juárez, México, Mexico",19.371612,-99.158969
Mexico City,Mexico,mexico city,404,65,"Merced, México, Mexico",19.42461,-99.119594
Mexico City,Mexico,mexico city,10158,68,"Gustavo A. Madero, México, Mexico",19.4827,-99.094517
Mexico City,Mexico,mexico city,413,-,"Coyoacán, México, Mexico",19.350258,-99.157101
Mexico City,Mexico,mexico city,3314,-,"San Juan de Aragón, México, Mexico",19.452592,-99.086095
Mexico City,Mexico,mexico city,11772,-,"FES Aragón, México, Mexico",19.473692,-99.046176
Delhi,India,delhi,12452,192,"Loni, Ghaziabad, India",,
Delhi,India,delhi,11267,-,"Pooth Khurd, Bawana, Delhi, Delhi, India",,
Delhi,India,delhi,11856,177,"Vasundhara, Ghaziabad, India",,
Delhi,India,delhi,12435,182,"Indirapuram, Ghaziabad, India",,
Delhi,India,delhi,12463,240,"Knowledge Park - V, Greater Noida, India",,
Delhi,India,delhi,8685,177,"Vikas Sadan Gurgaon, Gurgaon, India",,
Delhi,India,delhi,10705,172,"Jawaharlal Nehru Stadium, Delhi, Delhi, India",28.582846,77.234366
Delhi,India,delhi,10124,132,"Pusa, Delhi, Delhi, India",28.636997,77.172248
Delhi,India,delhi,9290,173,"DTU, Delhi, Delhi, India",,
Delhi,India,delhi,10110,159,"Dr. Karni Singh Shooting Range, Delhi, Delhi, India",,
Delhi,India,delhi,10704,142,"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",28.620171,77.287705
Delhi,India,delhi,2556,122,"R.K. Puram, Delhi, Delhi, India",28.5648,77.1744
Delhi,India,delhi,10122,161,"Lodhi Road, Delhi, Delhi, India",28.589701,77.221917
Delhi,India,delhi,10113,170,"ITI Jahangirpuri, Delhi, Delhi, India",28.733016,77.17197
Delhi,India,delhi,10708,411,"Mundka, Delhi, Delhi, India",,
Delhi,India,delhi,3715,161,"ITO, Delhi, Delhi, India",28.628577,77.241036
Delhi,India,delhi,10121,237,"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",28.710066,77.24622
Delhi,India,delhi,12465,211,"Sector-116, Noida, India",,
Delhi,India,delhi,12814,4,"Sector 30, Faridabad, India",,
Delhi,India,delhi,12889,167,"New Industrial Town, Faridabad, India",,
Delhi,India,delhi,10116,-,"DITE Okhla, Delhi, Delhi, India",,
Delhi,India,delhi,10707,-,"Sri Auribindo Marg, Delhi, Delhi, India",,
Delhi,India,delhi,10112,151,"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",28.566827,77.251418
Delhi,India,delhi,10114,144,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",28.700505,77.165603
Delhi,India,delhi,10120,-,"Bramprakash Ayurvedic Hospital, Najafgarh, Delhi, Delhi, India",,
Delhi,India,delhi,12447,-,"Arya Nagar, Bahadurgarh, India",,
Delhi,India,delhi,12816,210,"Sector-51, Gurugram, India",,
Delhi,India,delhi,12466,200,"Sector-1, Noida, India",28.5898,77.3101
Delhi,India,delhi,10111,167,"Major Dhyan Chand National Stadium, Delhi, Delhi, India",28.612498,77.237388
Delhi,India,delhi,8179,171,"Shadipur, Delhi, Delhi, India",28.65155278,77.15804167
Delhi,India,delhi,10119,-,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi, Delhi, India",,
Delhi,India,delhi,10118,273,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",28.672114,77.313832
Delhi,India,delhi,2554,182,"Mandir Marg, Delhi, Delhi, India",28.6341,77.2005
Delhi,India,delhi,10115,129,"Satyawati College, Delhi, Delhi, India",28.69572,77.181295
Delhi,India,delhi,10125,170,"Burari Crossing, Delhi, Delhi, India",28.725646,77.203384
Delhi,India,delhi,12813,814,"Sector 11, Faridabad, India",,
Delhi,India,delhi,10123,166,"CRRI Mathura Road, Delhi, Delhi, India",,
Delhi,India,delhi,11863,306,"Sector - 125, Noida, India",,
Delhi,India,delhi,2555,175,"Punjabi Bagh, Delhi, Delhi, India",,
Delhi,India,delhi,11278,176,"Knowledge Park - III, Greater Noida, India",,
Delhi,India,delhi,11300,158,"NISE Gwal Pahari, Gurugram, India",,
Delhi,India,delhi,10126,-,"Aya Nagar, Delhi, Delhi, India",,
Delhi,India,delhi,11266,177,"Alipur, Delhi, Delhi, India",,
Delhi,India,delhi,11899,175,"Sanjay Nagar, Ghaziabad, India",,
Delhi,India,delhi,11865,155,"Sector - 62, Noida, India",,
Delhi,India,delhi,12890,166,"Teri Gram, Gurugram, India",,
