date, pm25, pm10, no2, so2
2021/10/29, 55, 22, , 1
2021/10/30, 45, 37, , 3
2021/10/31, 70, 45, , 1
2021/11/1, 81, 35, , 1
2021/11/2, 42, 42, , 1
2021/11/3, 52, 46, , 1
2021/11/4, 73, 42, , 
2021/11/5, 74, 34, , 
2021/11/6, 64, 30, , 
2021/11/7, 60, 29, , 
2021/11/8, 74, 42, , 2
2021/11/9, 63, 63, , 1
2021/11/10, 109, 48, , 
2021/11/11, 87, 48, , 
2021/11/12, 82, 47, , 1
2021/11/13, 71, 34, , 
2021/11/14, 66, 38, , 
2021/11/15, 70, 49, , 
2021/11/16, 84, 34, , 
2021/11/17, 63, 21, , 
2021/11/18, 43, , , 
2021/11/23, 51, 35, , 1
2021/11/24, 55, 23, , 
2021/11/25, 47, 19, , 1
2021/11/26, 51, 20, , 
2021/11/27, 49, 24, , 
2021/11/28, 50, 37, , 
2021/11/29, 74, 28, , 
2021/11/30, 56, 36, , 2
2021/12/1, 66, 32, , 1
2021/12/2, 69, 41, , 1
2021/12/3, 80, 29, , 1
2021/12/4, 65, 21, , 1
2021/12/5, 53, 28, , 
2021/12/6, 68, 23, , 1
2021/12/7, 52, 25, , 
2021/12/8, 56, 31, , 
2021/12/9, 65, 45, , 1
2021/12/10, 91, 46, , 1
2021/12/11, 99, , , 
2021/12/14, 52, 44, , 
2021/12/15, 82, 23, , 
2021/12/16, 48, 23, , 6
2021/12/17, 45, 23, , 3
2021/12/18, 53, 18, , 
